STATE,DISTRICT
Andhra Pradesh,Anantapur
Andhra Pradesh,Chittoor
Andhra Pradesh,East Godavari
Andhra Pradesh,Guntur
Bihar,Araria
Bihar,Arwal
Bihar,Aurangabad
Bihar,Banka
Gujarat,Ahmedabad
Gujarat,Amreli
Gujarat,Anand
Gujarat,Bharuch
Karnataka,Bagalkot
Karnataka,Bangalore Rural
Karnataka,Bangalore Urban
Karnataka,Belgaum
Maharashtra,Ahmednagar
Maharashtra,Akola
Maharashtra,Amravati
Maharashtra,Aurangabad
Tamil Nadu,Ariyalur
Tamil Nadu,Chennai
Tamil Nadu,Coimbatore
Tamil Nadu,Cuddalore
Uttar Pradesh,Agra
Uttar Pradesh,Aligarh
Uttar Pradesh,Allahabad
Uttar Pradesh,Ambedkar Nagar
West Bengal,Bankura
West Bengal,Bardhaman
West Bengal,Birbhum
West Bengal,Cooch Behar
