district_id,state,district,total_population,child_percent,youth_percent,adult_percent,senior_percent,male_percent,female_percent,literacy_rate,urban_percent,rural_percent,farmer_percent,service_holder_percent,business_percent,others_percent,avg_income,bank_penetration,post_offices_count,Post Office Monthly Income Scheme,Senior Citizen Savings Scheme,Public Provident Fund,Sukanya Samriddhi Yojana,Postal Life Insurance,Rural Postal Life Insurance,National Savings Certificate,Kisan Vikas Patra,Mahila Samman Savings Certificate
1,Andhra Pradesh,Anantapur,2794855,28.22528065319376,32.46541808168297,29.750970862772334,9.558330402350933,52.65638736453115,47.34361263546885,67.81056357787617,63.51393657789219,36.48606342210781,52.93010387387406,16.067517181706044,25.01975861944473,5.982620324975166,223266.84281885685,69.5725437623104,61,143126,150794,321203,222073,351774,315131,126659,400530,315310
2,Andhra Pradesh,Chittoor,2337996,31.556314078560654,39.23655390515633,34.124941717967516,0.0,50.8054091348796,49.1945908651204,81.60283691778581,17.069102900295633,82.93089709970437,20.190304080461374,37.30821197637595,20.672011473394726,21.82947246976795,210827.2875440131,65.403013002753,301,71627,0,312769,180137,258319,271030,146776,385555,360280
3,Andhra Pradesh,East Godavari,987648,27.983598658261812,32.43829924159636,32.75336861178336,6.8247334883584685,49.271372867233076,50.728627132766924,80.81631760158658,31.736610537840505,68.2633894621595,29.058582439811772,19.232791531379753,16.531153538444254,35.177472490364224,267715.62040857074,63.91769622233038,498,39981,39663,111438,63626,76075,120920,41636,121806,160570
4,Andhra Pradesh,Guntur,2078266,30.103108503312807,35.383026165202224,28.24221938590169,6.271645945583273,51.78246628396171,48.21753371603829,75.46442807346591,27.389184561953005,72.610815438047,23.494324373833923,33.536107983918576,23.947481871667456,19.02208577058005,385177.72919975326,48.56506127401528,437,119587,59937,301841,125471,197322,302057,120292,295368,345836
5,Andhra Pradesh,Andhra Pradesh_District_5,1678674,28.103912374628106,31.301273722869908,29.231342999408557,11.363470903093425,49.727865995073635,50.272134004926365,92.6399487083711,43.050620323383946,56.949379676616054,34.81411962663695,27.128287715107938,14.267073515522235,23.790519142732876,759841.5486883479,54.097384028481784,81,86898,119129,223630,120839,192585,157234,84943,220763,240449
6,Andhra Pradesh,Andhra Pradesh_District_6,948552,27.94358548241973,38.66756900330983,29.766350794435233,3.6224947198352027,51.700759760131874,48.299240239868126,92.02503582546026,29.727184465006687,70.27281553499331,37.149045652292706,21.46315093893098,16.040147736828683,25.34765567194763,619203.5732106696,75.27646317230165,209,33663,19034,103137,70867,77292,115690,32398,193916,131518
7,Andhra Pradesh,Andhra Pradesh_District_7,1840610,34.04954752742275,37.80658468314191,26.46633387528282,1.6775339141525123,49.47900876837008,50.52099123162992,86.14832867883021,59.67743371688986,40.32256628311014,31.46776250971124,35.35868599566071,15.192792692984016,17.980758801644043,338338.2311870416,69.89175578334131,457,104146,15016,274809,178147,197254,142964,84554,197300,265563
8,Andhra Pradesh,Andhra Pradesh_District_8,1929382,31.81440329038135,37.5851127660539,29.117090001527465,1.4833939420372815,48.698147100567645,51.301852899432355,62.45115601226146,78.95055186822097,21.04944813177903,37.74781943674091,21.52012125168035,15.104105093245273,25.627954218333464,153502.756875136,56.997760944578204,259,148565,14851,225622,144373,263389,146901,60460,233095,261740
9,Andhra Pradesh,Andhra Pradesh_District_9,1573993,31.415292267275913,39.456555622283176,27.96706115572633,1.1610909547145774,51.62321121932692,48.37678878067308,60.79684497789945,19.42083208144843,80.57916791855158,38.33634020966291,16.21695491129742,16.52234525360742,28.924359625432253,488622.57717273175,47.824035157270345,253,36929,11804,123398,134781,109401,192634,46169,314594,203620
10,Andhra Pradesh,Andhra Pradesh_District_10,2537564,26.097114295992466,33.57871084591373,34.03768077087971,6.286494087214088,49.17943969150075,50.82056030849925,66.5973841722359,12.309267451715682,87.69073254828432,46.25077368122992,15.168774358354984,11.73542858671497,26.84502337370012,782016.6370445513,53.28539794239133,375,60794,85439,182685,134743,148792,403897,63744,671491,401580
11,Andhra Pradesh,Andhra Pradesh_District_11,780342,33.40239481903517,38.69590532181551,31.95950852354364,0.0,51.63244952445332,48.36755047554668,86.43093108393592,65.80169124327425,34.19830875672575,30.393669321205557,39.63203019229252,22.878670324747297,7.0956301617546345,582631.348095019,62.805082114105986,249,52941,0,155139,65329,106070,58817,40761,91068,111040
12,Andhra Pradesh,Andhra Pradesh_District_12,1780254,25.41775968801546,32.16481194019586,31.93364264723688,10.483785724551794,50.944292603202605,49.055707396797395,91.65496126735175,52.2310566687599,47.7689433312401,20.527060823750688,25.462633453945,22.37170089975623,31.63860482254808,233523.780632869,80.7425899597165,87,131638,112140,269771,119478,177708,139891,66318,191984,222869
13,Andhra Pradesh,Andhra Pradesh_District_13,1326584,34.787778020763625,36.78038952562113,31.567784148380824,0.0,51.06866941380289,48.93133058619711,83.58619461561818,68.74181704021618,31.258182959783824,45.639210840113506,27.085064165080347,28.49134046193913,0.0,158859.22062946137,60.80892330023508,430,93168,0,189124,93495,214877,116086,87597,221029,181776
14,Andhra Pradesh,Andhra Pradesh_District_14,2533402,26.310297527073335,38.738189865881395,28.663015884319773,6.288496722725501,50.73612702634387,49.26387297365613,63.64419015757813,17.123376230746455,82.87662376925354,59.64688423781097,26.835305149591754,27.966125707510713,0.0,678815.3277618885,49.063244704868694,283,114306,96324,264130,142358,212234,486680,149283,632689,424944
15,Andhra Pradesh,Andhra Pradesh_District_15,588847,34.90947955087188,37.72488842267832,34.10276309655449,0.0,49.905167021727394,50.094832978272606,81.4417437753818,47.472382886614405,52.527617113385595,33.62680313970895,36.257208604118375,23.79990369460881,6.316084561563862,160747.65929057897,46.86920333023186,129,33510,0,98504,48779,89346,76454,29414,72148,97274
16,Andhra Pradesh,Andhra Pradesh_District_16,1486700,34.98591411806348,34.04324309472285,30.925175001343717,0.04566778586995923,49.51175731362544,50.48824268637456,74.58574226983598,63.56994942361086,36.43005057638914,53.12529204652526,19.405544615996213,27.316119703597334,0.15304363388119313,152138.43394751905,83.18396867255356,125,96349,409,273309,147611,133232,166732,76782,241233,219514
17,Andhra Pradesh,Andhra Pradesh_District_17,1491137,31.494930600178215,33.287806611385804,26.253350928918568,8.96391185951742,52.90430002736449,47.09569997263551,85.42929729785702,35.754777312193625,64.24522268780638,29.617535315251338,38.35427434585097,21.29977338403327,10.728416954864432,505081.9181511659,68.34925288458392,113,100432,79157,236208,100357,165018,181142,94006,276879,249152
18,Andhra Pradesh,Andhra Pradesh_District_18,1588866,33.745352513825026,38.44705361865519,30.898350850252967,0.0,51.862302493016564,48.137697506983436,88.58748724651511,79.37266922280044,20.62733077719956,59.83373639983524,28.30950338775593,17.417173503646502,0.0,315276.46180012095,52.05015570088145,452,120950,0,322371,140501,261618,127191,86764,271836,239684
19,Andhra Pradesh,Andhra Pradesh_District_19,1313232,32.976461332580364,39.363454818774585,29.776551480319675,0.0,48.75422133807749,51.24577866192251,93.16139469290155,21.78973106908965,78.21026893091035,26.071092053943175,26.362410194833167,25.685748160691624,21.880749590532034,301682.0986869896,83.40426177238818,437,46908,0,178013,91016,129702,173433,80914,200247,209747
20,Andhra Pradesh,Andhra Pradesh_District_20,2403884,28.928244749127877,31.349022544169554,34.77509914444248,4.94763356226008,50.598406152396585,49.401593847603415,62.19333733292714,11.058653624376007,88.941346375624,38.15352014095086,17.363387400669005,11.008263287681622,33.47482917069851,432248.7523963541,42.70161854969227,260,68218,57197,164184,141234,116447,378398,59660,520135,346779
21,Andhra Pradesh,Andhra Pradesh_District_21,2676175,31.477206821227846,39.07256667490715,25.077717566129103,4.372508937735908,49.4044784692813,50.5955215307187,60.9595220563782,24.579087843669825,75.42091215633017,45.632287988876705,31.490858888703297,16.576653113079132,6.300200009340866,510293.86844685423,54.1860465480353,171,119852,54674,364331,239084,209477,414826,146599,501486,446283
22,Andhra Pradesh,Andhra Pradesh_District_22,2993359,33.82915847429743,30.918440020138924,32.93093957823158,2.3214619273320665,51.806047384927425,48.193952615072575,61.474970621832696,70.56129173649562,29.43870826350438,52.870028295290446,33.90340851414551,12.846138242017862,0.3804249485461817,296741.5890765436,67.32066618428851,471,187815,33327,473641,220045,410814,311592,106218,369372,445658
23,Andhra Pradesh,Andhra Pradesh_District_23,2998809,25.187130060857612,35.12688399565431,25.87413845407748,13.811847489410596,48.14459965441698,51.85540034558302,63.53541983676991,69.36085165241457,30.639148347585433,56.0049541494041,28.24210544661419,20.937795073146034,0.0,279967.8341368252,56.3770858354934,459,189988,207553,420572,214466,413167,272104,168675,572295,432166
24,Andhra Pradesh,Andhra Pradesh_District_24,1604302,26.27562117541832,35.01046592433323,34.8875275710666,3.8263853291818464,52.3559986223999,47.6440013776001,85.71420973956117,34.9118388198778,65.0881611801222,52.07076606679589,17.5485960653423,23.171339235195326,7.209298632666485,677315.9566463165,46.56238276001446,337,60651,37877,207295,113307,169549,238797,74592,317443,250052
25,Arunachal Pradesh,Arunachal Pradesh_District_1,2791557,28.358059138872058,35.26304836872812,25.437179609866707,10.941712882533121,50.97806390353854,49.02193609646146,93.20417049674484,75.68661902983615,24.31338097016385,28.446581913976793,20.974922317748106,25.76060899387597,24.817886774399135,172240.71837519173,50.528097634618746,264,176058,172860,424705,226428,266422,191475,146353,232222,402158
26,Arunachal Pradesh,Arunachal Pradesh_District_2,1603057,29.88947895088411,35.845234759257444,34.14966878046965,0.115617509388791,51.95593333611236,48.04406666388764,69.12996653947447,42.00824022212119,57.99175977787881,52.09221848906305,33.71408053014281,24.9262333283369,0.0,776975.1448371698,74.16716980050737,485,91517,1086,229523,116860,231340,180079,80575,376595,259018
27,Arunachal Pradesh,Arunachal Pradesh_District_3,1888450,32.42128856418175,36.0473161012049,26.969463104769915,4.5619322298434355,51.56363195454791,48.43636804545209,93.37236886345154,64.83104352425666,35.16895647574334,20.662817314565313,35.167261861086615,21.47377504896559,22.69614577538248,347779.106375938,84.01406746687275,72,167778,49388,321445,164331,226761,146773,91820,192573,242098
28,Arunachal Pradesh,Arunachal Pradesh_District_4,2360526,28.441047541357776,32.46595541477057,26.56288840165857,12.530108642213087,49.01914601319944,50.98085398680056,74.43601650584583,27.933268741664737,72.06673125833527,37.43124274585102,29.468980792534126,10.14274425973438,22.957032201880473,748289.1795032289,66.93131851912186,483,129484,137837,249011,155162,179026,360989,98372,350799,352739
29,Arunachal Pradesh,Arunachal Pradesh_District_5,2642885,33.30502819440777,30.32334677598522,25.682229763430897,10.689395266176113,52.25178867365795,47.74821132634205,82.71668378252905,50.87346834303399,49.12653165696601,56.96645440033709,21.685230530349735,18.94508350050218,2.4032315688109946,174149.81817926842,54.636814371930654,363,159888,142658,344882,168988,219646,340373,108377,561979,345244
30,Arunachal Pradesh,Arunachal Pradesh_District_6,2295174,27.208732817819303,30.60192732025618,34.082802612434755,8.106537249489755,50.301194312159986,49.698805687840014,60.583952306991264,36.23050419201789,63.76949580798211,20.48899128614011,19.15075794648538,12.791497402014013,47.56875336536049,344491.240445941,77.89783375312614,159,104591,107556,242594,169749,166462,210298,55807,285351,254305
31,Arunachal Pradesh,Arunachal Pradesh_District_7,2796224,25.657016964606548,37.89807154680174,32.42986195628683,4.015049532304879,48.8819420281081,51.1180579718919,85.0536094901831,24.152401862487295,75.8475981375127,44.177156485353564,31.963495879330793,10.735091366954387,13.124256268361256,283947.5179147945,83.05854648205641,412,144821,67164,341102,202883,264730,497276,95200,627725,393652
32,Arunachal Pradesh,Arunachal Pradesh_District_8,2279211,31.523931325161676,32.59036856280347,31.664732266553415,4.2209678454814465,49.19825868459985,50.80174131540015,73.15351100850171,66.64890950700976,33.35109049299024,49.971892602052,32.93274286231404,18.204840304719912,0.0,755617.1208961675,50.923307473832224,465,174100,49703,409013,205572,283514,247351,133479,395566,412805
33,Arunachal Pradesh,Arunachal Pradesh_District_9,1713519,33.741794363060976,32.82923163120786,26.423429986695332,7.005544019035831,52.71829379429421,47.28170620570579,72.54422501143354,37.59879341834135,62.40120658165865,47.59399369472628,17.381951967299088,27.634969221953114,7.389085116021519,574155.6998051258,53.92531101750922,446,93766,64719,202930,133061,195772,213247,61674,284445,198350
34,Arunachal Pradesh,Arunachal Pradesh_District_10,1078878,29.787253188971665,35.491435822022275,27.056862183157044,7.66444880584902,50.8967874291965,49.1032125708035,93.63428445048974,16.17340976509172,83.82659023490828,53.503486280852826,22.79594883061651,10.311065061593485,13.389499826937179,490027.4631627138,47.253835998993175,95,37963,45228,96419,73083,60682,206927,33071,247433,157210
